"Part";"Value";"Device";"Package";"Description";"ARROW_AMERICAS-PURCHASE-URL";"AVAILABILITY";"DESCRIPTION";"DIGIKEY-PURCHASE-URL";"MF";"MOUSER-PURCHASE-URL";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";
"ACIN/OUT";"";"W237-102";"W237-102";"WAGO SCREW CLAMP";"";"";"";"";"";"";"";"237-102";"unknown";"70K9898";"";"";"";
"C1";"100nF";"CAP-UNPOLARIZEDFAB";"C1206FAB";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C2";"100uF";"CAP-US1206FAB";"C1206FAB";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C3";"1nF";"CAP-UNPOLARIZEDFAB";"C1206FAB";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C4";"0.1uF";"CAP-UNPOLARIZEDFAB";"C1206FAB";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C5";"15pf";"CAP-UNPOLARIZEDFAB";"C1206FAB";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C6";"15pf";"CAP-UNPOLARIZEDFAB";"C1206FAB";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D1";"";"DIODESOD123";"SOD123";"DIODE";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D2";"";"DIODESOD123";"SOD123";"DIODE";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D3";"";"DIODESOD123";"SOD123";"DIODE";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D4";"";"DIODESOD123";"SOD123";"DIODE";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC1";"ACS712";"ACS712";"SO08";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"JP1";"header2x6";"PINHD-2X3";"2X03";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"62";"";
"JP2";"header2x6";"PINHD-2X3";"2X03";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"62";"";
