"Qty";"Value";"Device";"Package";"Parts";"Description";"ARROW_AMERICAS-PURCHASE-URL";"AVAILABILITY";"DESCRIPTION";"DIGIKEY-PURCHASE-URL";"MF";"MOUSER-PURCHASE-URL";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";
"4";"";"DIODESOD123";"SOD123";"D1, D2, D3, D4";"DIODE";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"";"W237-102";"W237-102";"ACIN/OUT, VALVESOLENOID_01, VALVESOLENOID_02, VALVESOLENOID_03";"WAGO SCREW CLAMP";"";"";"";"";"";"";"";"237-102";"unknown";"70K9898";"";"";"";
"1";"0.1uF";"CAP-UNPOLARIZEDFAB";"C1206FAB";"C4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1.2Mohm";"RES-US1206FAB";"R1206FAB";"R7";"Resistor (US Symbol)";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1.5Mohm";"RES-US1206FAB";"R1206FAB";"R9";"Resistor (US Symbol)";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"100nF";"CAP-UNPOLARIZEDFAB";"C1206FAB";"C1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"100ohm";"RES-US1206";"R1206";"R13, R14, R16";"Resistor (US Symbol)";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"100ohm";"RES-US1206FAB";"R1206FAB";"R6, R8";"Resistor (US Symbol)";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"100uF";"CAP-US1206FAB";"C1206FAB";"C2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10K";"RES-US1206FAB";"R1206FAB";"R10";"Resistor (US Symbol)";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"10k";"RES-US1206";"R1206";"R12, R15";"Resistor (US Symbol)";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"150ohm";"RES-US1206FAB";"R1206FAB";"R3, R11";"Resistor (US Symbol)";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"15pf";"CAP-UNPOLARIZEDFAB";"C1206FAB";"C5, C6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"1K";"RES-US1206FAB";"R1206FAB";"R1, R2, R4, R5";"Resistor (US Symbol)";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"1nF";"CAP-UNPOLARIZEDFAB";"C1206FAB";"C3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"22-23-2021";"22-23-2021";"22-23-2021";"POWER";".100" (2.54mm) Center Header - 2 Pin";"";"";"";"";"MOLEX";"";"";"22-23-2021";"1462926";"25C3832";"";"40";"";
"4";"220omh";"RES-US1206FAB";"R1206FAB";"R17, R18, R19, R20";"Resistor (US Symbol)";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"ACS712";"ACS712";"SO08";"IC1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"BCX70SMD";"BCX70SMD";"SOT23";"Q1, Q2, Q3, Q4";"NPN TRANSISTOR";"";"";"";"";"";"";"";"";"";"";"";"0";"";
"1";"ECS-.327-12.5-13X";"ECS-.327-12.5-13X";"XTAL_ECS-.327-12.5-13X";"Y1";"Crystal  Cylindrical Can, Radial";"";"Unavailable";" 32.768kHz ±20ppm Crystal 12.5pF 35 kOhms Cylindrical Can, Radial ";"";"ECS Inc.";"";"ECS-.327-12.5-13X";"";"";"";"Cylindrical Can Radial  ECS International";"";"None";
"4";"EL817(S)(D)(TU)-V";"EL817(S)(D)(TU)-V";"SOIC254P1030X460-4N";"U2, U3, U4, U5";"Optocoupler DC-IN 1-CH Transistor DC-OUT 4-Pin PDIP Tube";"";"Unavailable";" Optoisolator Transistor Output 5000Vrms 1 Channel 4-SMD ";"";"Everlight Electronics";"";"EL817(S)(D)(TU)-V";"";"";"";"SMD-4 Everlight";"";"None";
"1";"ESP-WROOM-32";"ESP-WROOM-32";"ESP-WROOM-32";"U1";"Espressif Systems ESP-WROOM-32";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"FTDI-SMD-HEADER";"FTDI-SMD-HEADER";"1X06SMD";"RTS";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"GPIO0 Button";"6MM_SWITCH6MM_SWITCH";"6MM_SWITCH";"S2";"OMRON SWITCH";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"LED";"LED";"LED1206";"U$7, U$9, U$10";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"LEDFAB1206";"LEDFAB1206";"LED1206FAB";"U$1, U$3, U$4, U$5";"LED";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"MCP1700T-3302E/TT";"MCP1700T-3302E/TT";"SOT95P237X112-3N";"U$2";"";"https://snapeda.com/shop?store=Arrow+Americas&id=4791194";"Unavailable";" IC REG LINEAR 3.3V 250MA SOT23-3 ";"https://snapeda.com/shop?store=DigiKey&id=4791194";"Microchip Technology";"https://snapeda.com/shop?store=Mouser&id=4791194";"MCP1700T-3302E/TT";"";"";"";"None";"";"None";
"1";"Reset";"6MM_SWITCH6MM_SWITCH";"6MM_SWITCH";"S1";"OMRON SWITCH";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"SRD-05VDC-SL-C";"SRD-05VDC-SL-C";"RELAY_SRD-05VDC-SL-C";"K1, K2, K3, K4";"5V Trigger Relay Module For Arduino And Raspberry Pi 5V Trigger Relay Module For Arduino And Raspberry Pi";"";"Unavailable";" 5V Trigger Relay Module For Arduino And Raspberry Pi 5V Trigger Relay Module For Arduino And Raspberry Pi ";"";"Songle Relay";"";"SRD-05VDC-SL-C";"";"";"";"None";"";"None";
"1";"TEMP-HUM-SENSOR-DHT11";"TEMP-HUM-SENSOR-DHT11";"TEMP-HUM-SENSOR-DHT11";"U$6";"DHT11 - digital humidity & temperature sensor";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"header2x6";"PINHD-2X3";"2X03";"JP1, JP2";"PIN HEADER";"";"";"";"";"";"";"";"";"";"";"";"62";"";
